toujours,always
jamais,never
parfois,sometimes
quelques fois,sometimes
presque jamais,hardly ever
presque toujours,almost never
de temps en temps,from time to time
habituellement,usually
normalement,normally
régulièrement,regularly
souvent, often
tres souvent,very often
fois,time
par,per
week,semaine
jour,day
mois,month
an,year
une fois par semaine,once per week
Je parle souvent francais,I often speak french
Je regarde tourjours un film le soir,I always watch a movie in the evening
Il va régulièrement au ciné,He goes to the movies on a regular basis
Vous travaillez presque toujours le matin,You almost always work in the morning
"Une fois par semaine, je vais à la salle de sport","Once per week,I go to the gym"
"Je vais à la salle de sport une fois par semaine","I go to the gym once per week"
"Je ne regarde jamais le tèlè","I never watch TV"
"Je ne parle jamais en classe","I never speak in class"
"Elles ne vont jamais en vacances","They never go on vacation"
Elle écoute jamais le prof,She never listens to the teacher